"episode","character","startmin","stopmin"
21,"Sarah",29.96666667,30.25
21,"Rachel",30.25,31.78333333
21,"Sarah",31.78333333,34.43333333
21,"Alison",34.48333333,34.75
21,"Sarah",34.58333333,35.01666667
21,"Sarah",35.01666667,37.91666667
21,"Alison",36.45,37.15
21,"Alison",37.91666667,38.31666667
21,"Sarah",38.31666667,38.7
21,"Sarah",38.7,39.26666667
21,"Helena",39.26666667,40.21666667
22,"Sarah",3.133333333,4.283333333
22,"Cosima",7.316666667,8.766666667
22,"Alison",8.766666667,10.55
22,"Sarah",10.55,12.95
22,"Helena",12.95,14.38333333
22,"Cosima",15.96666667,17.98333333
22,"Sarah",18.13333333,18.33333333
22,"Sarah",18.33333333,19.55
22,"Sarah",19.55,20.1
22,"Alison",20.1,21.33333333
22,"Cosima",22.56666667,23.26666667
22,"Sarah",22.66666667,23.26666667
22,"Helena",23.26666667,25.78333333
22,"Sarah",26.31666667,27.81666667
22,"Alison",27.81666667,29.33333333
22,"Sarah",29.08333333,32.88333333
22,"Sarah",33.41666667,34.31666667
22,"Sarah",34.88333333,36.3
22,"Sarah",37.76666667,40.36666667
23,"Sarah",0,1.85
23,"Sarah",1.85,3.6
23,"Cosima",2.133333333,3.166666667
23,"Alison",5.483333333,6.55
23,"Sarah",8.433333333,10.36666667
23,"Sarah",13.76666667,15.01666667
23,"Helena",15.01666667,15.6
23,"Cosima",18,19.9
23,"Rachel",19.9,21.21666667
23,"Alison",22.9,25.33333333
23,"Sarah",25.33333333,26.75
23,"Sarah",28.68333333,30.76666667
23,"Helena",30.76666667,32.25
23,"Sarah",32.25,34.25
23,"Cosima",36.7,37.4
23,"Sarah",37.4,40.3
23,"Cosima",37.66666667,38.28333333
23,"Sarah",41.1,41.18333333
24,"Sarah",0,2.6
24,"Helena",4.316666667,5.75
24,"Alison",5.75,7.15
24,"Cosima",5.75,6.383333333
24,"Sarah",7.15,8.166666667
24,"Helena",8.416666667,11.56666667
24,"Sarah",11.56666667,13.98333333
24,"Alison",13.98333333,15.61666667
24,"Cosima",15.61666667,16.91666667
24,"Sarah",18.08333333,19.71666667
24,"Helena",20.28333333,20.85
24,"Sarah",20.85,21.41666667
24,"Alison",21.41666667,23.9
24,"Cosima",23.9,24.68333333
24,"Alison",24.68333333,25.6
24,"Sarah",25.6,27.45
24,"Cosima",26.15,27.33333333
24,"Sarah",29.15,31.55
24,"Helena",31.55,32.43333333
24,"Sarah",32.43333333,33.23333333
24,"Helena",32.8,36.01666667
24,"Sarah",36.01666667,41.13333333
25,"Helena",0,1.05
25,"Sarah",1.316666667,1.433333333
25,"Sarah",2.5,4.033333333
25,"Helena",3.083333333,3.9
25,"Cosima",5.066666667,6.083333333
25,"Cosima",6.85,7.85
25,"Sarah",7.85,9.8
25,"Helena",7.85,10.43333333
25,"Sarah",10.43333333,11.4
25,"Sarah",13.11666667,13.98333333
25,"Helena",13.11666667,13.98333333
25,"Cosima",13.98333333,14.76666667
25,"Sarah",16.93333333,19.56666667
25,"Helena",16.93333333,17.3
25,"Helena",17.88333333,18.61666667
25,"Helena",19.1,19.56666667
25,"Cosima",22,23.78333333
25,"Sarah",23.78333333,26
25,"Helena",24.01666667,26
25,"Sarah",27.66666667,29.08333333
25,"Helena",27.66666667,28.6
25,"Sarah",30.06666667,31.65
25,"Helena",30.21666667,31.65
25,"Helena",32.5,35.98333333
25,"Sarah",32.93333333,36.23333333
25,"Helena",36.7,37.3
25,"Helena",37.63333333,38.11666667
25,"Helena",38.76666667,39.76666667
25,"Helena",40.31666667,40.88333333
25,"Sarah",40.88333333,41.1
26,"Sarah",0,2.616666667
26,"Cosima",5.15,6.733333333
26,"Alison",6.733333333,8.433333333
26,"Cosima",8.433333333,10.23333333
26,"Sarah",10.5,11.98333333
26,"Helena",11.98333333,13.06666667
26,"Cosima",14.43333333,15.48333333
26,"Alison",17.11666667,18.45
26,"Cosima",18.83333333,19.15
26,"Cosima",19.68333333,19.85
26,"Sarah",20.1,25.05
26,"Beth",22.51666667,24.9
26,"Rachel",25.95,28.36666667
26,"Alison",28.36666667,29.63333333
26,"Cosima",29.63333333,30.48333333
26,"Cosima",31.33333333,32.3
26,"Sarah",32.3,33.93333333
26,"Sarah",35.1,35.5
26,"Sarah",35.98333333,38.2
26,"Sarah",39.03333333,39.15
26,"Sarah",39.43333333,39.5
26,"Sarah",39.75,40.6
26,"Helena",40.18333333,40.6
26,"Rachel",40.6,40.98333333
27,"Helena",0,1.716666667
27,"Sarah",0,1.716666667
27,"Helena",1.716666667,2.716666667
